time,minor,major
2024-11-15 12:46:57,278.0413,-0.3793671
2024-11-15 12:46:56,328.2642,-0.6206329
2024-11-15 12:46:55,284.7973,0
2024-11-15 12:46:54,239.6599,0
2024-11-15 12:46:53,242.8551,0
2024-11-15 12:46:52,240.2503,0
2024-11-15 12:46:51,238.2455,0
2024-11-15 12:46:50,236.991,0
2024-11-15 12:46:49,255.6205,0
2024-11-15 12:46:48,268.5816,0
2024-11-15 12:46:47,238.8834,-0.3797276
2024-11-15 12:46:46,270.8336,-0.6202724
2024-11-15 12:46:45,291.0398,0
2024-11-15 12:46:44,237.0408,0
2024-11-15 12:46:43,240.4575,0
2024-11-15 12:46:42,299.4173,0
2024-11-15 12:46:41,338.9252,0
2024-11-15 12:46:40,332.3857,0
2024-11-15 12:46:39,423.1148,0
2024-11-15 12:46:38,292.0286,0
2024-11-15 12:46:37,242.2327,-0.379549
2024-11-15 12:46:36,330.2112,-0.620451
2024-11-15 12:46:35,386.0413,0
2024-11-15 12:46:34,300.8633,0
2024-11-15 12:46:33,338.6148,0
2024-11-15 12:46:32,369.3635,0
2024-11-15 12:46:31,458.0462,0
2024-11-15 12:46:30,242.0914,0
2024-11-15 12:46:29,239.3852,0
2024-11-15 12:46:28,240.7597,0
2024-11-15 12:46:27,242.7334,-0.3794318
2024-11-15 12:46:26,271.706,-0.6205682
2024-11-15 12:46:25,288.9015,0
2024-11-15 12:46:24,1363.8207,0
2024-11-15 12:46:23,2123.663,0
2024-11-15 12:46:22,322.4659,0
2024-11-15 12:46:21,248.7367,0
2024-11-15 12:46:20,262.5539,0
2024-11-15 12:46:19,816.8992,0
2024-11-15 12:46:18,1150.9142,0
2024-11-15 12:46:17,277.6775,-0.3795129
2024-11-15 12:46:16,304.1113,-0.6204871
2024-11-15 12:46:15,299.3541,0
2024-11-15 12:46:14,265.3052,0
2024-11-15 12:46:13,277.2714,0
2024-11-15 12:46:12,241.2066,0
2024-11-15 12:46:11,235.7745,0
2024-11-15 12:46:10,238.134,0
2024-11-15 12:46:09,239.2458,0
2024-11-15 12:46:08,239.9108,0
2024-11-15 12:46:07,245.2963,-0.3796398
2024-11-15 12:46:06,285.8516,-0.6203602
2024-11-15 12:46:05,304.9656,0
2024-11-15 12:46:04,237.2341,0
2024-11-15 12:46:03,237.5337,0
2024-11-15 12:46:02,302.2774,0
2024-11-15 12:46:01,356.5181,0
2024-11-15 12:46:00,262.3006,0
2024-11-15 12:45:59,235.3801,0
2024-11-15 12:45:58,298.9896,0
2024-11-15 12:45:57,340.1412,-0.3795909
2024-11-15 12:45:56,267.4738,-0.6204091
2024-11-15 12:45:55,346.2437,0
2024-11-15 12:45:54,372.8292,0
2024-11-15 12:45:53,295.4558,0
2024-11-15 12:45:52,238.2461,0
2024-11-15 12:45:51,237.7827,0
2024-11-15 12:45:50,246.9598,0
2024-11-15 12:45:49,386.7861,0
2024-11-15 12:45:48,459.6266,0
2024-11-15 12:45:47,241.1291,-0.7593009
2024-11-15 12:45:46,273.392,-1.2406991
2024-11-15 12:45:45,291.4778,0
2024-11-15 12:45:44,237.3427,0
2024-11-15 12:45:43,235.2653,0
2024-11-15 12:45:42,239.3314,0
2024-11-15 12:45:41,240.7761,0
2024-11-15 12:45:40,272.0013,0
2024-11-15 12:45:39,321.8039,0
2024-11-15 12:45:38,296.4622,0
2024-11-15 12:45:37,252.2147,-0.3797708
2024-11-15 12:45:36,277.2031,-0.6202292
2024-11-15 12:45:35,294.9168,0
2024-11-15 12:45:34,258.5485,0
2024-11-15 12:45:33,266.7929,0
2024-11-15 12:45:32,319.2887,0
2024-11-15 12:45:31,342.5984,0
2024-11-15 12:45:30,241.7031,0
2024-11-15 12:45:29,258.487,0
2024-11-15 12:45:28,275.2703,0
2024-11-15 12:45:27,248.0058,-0.3795851
2024-11-15 12:45:26,1014.8113,-0.6204149
2024-11-15 12:45:25,1499.6965,0
2024-11-15 12:45:24,245.5384,0
2024-11-15 12:45:23,244.9323,0
2024-11-15 12:45:22,237.7092,0
2024-11-15 12:45:21,236.2836,0
2024-11-15 12:45:20,238.4861,0
2024-11-15 12:45:19,319.1335,0
2024-11-15 12:45:18,371.8641,0
2024-11-15 12:45:17,238.6586,-0.3796326
2024-11-15 12:45:16,278.7099,-0.6203674
2024-11-15 12:45:15,300.1562,0
2024-11-15 12:45:14,281.403,0
2024-11-15 12:45:13,309.5102,0
2024-11-15 12:45:12,243.4761,0
2024-11-15 12:45:11,246.3109,0
2024-11-15 12:45:10,250.8061,0
2024-11-15 12:45:09,241.3686,0
2024-11-15 12:45:08,266.6284,0
2024-11-15 12:45:07,298.6427,-0.3796431
2024-11-15 12:45:06,305.0705,-0.6203569
2024-11-15 12:45:05,312.2549,0
2024-11-15 12:45:04,262.1304,0
2024-11-15 12:45:03,279.9661,0
2024-11-15 12:45:02,301.6729,0
2024-11-15 12:45:01,342.5103,0
2024-11-15 12:45:00,240.8385,0
2024-11-15 12:44:59,237.1162,0
2024-11-15 12:44:58,237.7967,0
2024-11-15 12:44:57,242.8763,-0.3796501
2024-11-15 12:44:56,269.8519,-0.6203499
2024-11-15 12:44:55,286.6104,0
2024-11-15 12:44:54,238.527,0
2024-11-15 12:44:53,239.111,0
2024-11-15 12:44:52,236.7397,0
2024-11-15 12:44:51,239.1863,0
2024-11-15 12:44:50,245.9935,0
2024-11-15 12:44:49,267.288,0
2024-11-15 12:44:48,269.2547,0
2024-11-15 12:44:47,240.0273,-0.3799405
2024-11-15 12:44:46,279.1787,-0.6200595
2024-11-15 12:44:45,299.2701,0
2024-11-15 12:44:44,239.1367,0
2024-11-15 12:44:43,281.5799,0
2024-11-15 12:44:42,310.7541,0
2024-11-15 12:44:41,236.981,0
2024-11-15 12:44:40,269.9796,0
2024-11-15 12:44:39,324.3857,0
2024-11-15 12:44:38,294.6402,0
2024-11-15 12:44:37,242.7283,-0.3795807
2024-11-15 12:44:36,267.0699,-0.6204193
2024-11-15 12:44:35,286.8158,0
2024-11-15 12:44:34,242.1497,0
2024-11-15 12:44:33,238.9827,0
2024-11-15 12:44:32,302.0193,0
2024-11-15 12:44:31,340.8392,0
2024-11-15 12:44:30,235.9795,0
2024-11-15 12:44:29,238.679,0
2024-11-15 12:44:28,242.2218,0
2024-11-15 12:44:27,241.3758,-0.379556
2024-11-15 12:44:26,267.4797,-0.620444
2024-11-15 12:44:25,1423.0516,0
2024-11-15 12:44:24,2102.752,0
2024-11-15 12:44:23,240.0163,0
2024-11-15 12:44:22,239.5918,0
2024-11-15 12:44:21,237.4962,0
2024-11-15 12:44:20,235.3335,0
2024-11-15 12:44:19,798.5693,0
2024-11-15 12:44:18,1157.7004,0
2024-11-15 12:44:17,241.2772,-0.3796694
2024-11-15 12:44:16,268.8903,-0.6203306
2024-11-15 12:44:15,285.6015,0
2024-11-15 12:44:14,237.5402,0
2024-11-15 12:44:13,237.7233,0
2024-11-15 12:44:12,235.5053,0
2024-11-15 12:44:11,238.0152,0
2024-11-15 12:44:10,290.4261,0
2024-11-15 12:44:09,322.7998,0
2024-11-15 12:44:08,278.5411,0
2024-11-15 12:44:07,305.8519,-0.3798117
2024-11-15 12:44:06,266.6201,-0.6201883
2024-11-15 12:44:05,285.0119,0
2024-11-15 12:44:04,238.243,0
2024-11-15 12:44:03,292.0056,0
2024-11-15 12:44:02,385.7491,0
2024-11-15 12:44:01,340.8859,0
2024-11-15 12:44:00,237.1436,0
2024-11-15 12:43:59,238.2405,0
2024-11-15 12:43:58,238.1372,0
2024-11-15 12:43:57,307.5171,-0.3793524
2024-11-15 12:43:56,378.2092,-0.6206476
2024-11-15 12:43:55,284.1789,0
2024-11-15 12:43:54,236.1947,0
2024-11-15 12:43:53,235.7611,0
2024-11-15 12:43:52,283.6552,0
2024-11-15 12:43:51,317.9148,0
2024-11-15 12:43:50,263.0554,0
2024-11-15 12:43:49,286.7268,0
2024-11-15 12:43:48,275.4822,0
2024-11-15 12:43:47,249.3268,-0.3794764
2024-11-15 12:43:46,271.9358,-0.6205236
