time,time
2024-11-15 12:30:56,13.362806
2024-11-15 12:30:54,6.434347
2024-11-15 12:30:52,4.115504
2024-11-15 12:30:50,2.062207
2024-11-15 12:30:48,2.666712
2024-11-15 12:30:46,5.041489
2024-11-15 12:30:44,7.35663
2024-11-15 12:30:42,13.995867
2024-11-15 12:30:40,30.04276
2024-11-15 12:30:38,38.14139
2024-11-15 12:30:36,10.30001
2024-11-15 12:30:34,8.422201
2024-11-15 12:30:32,7.668451
2024-11-15 12:30:30,9.347405
2024-11-15 12:30:28,9.608453
2024-11-15 12:30:26,9.435735
2024-11-15 12:30:24,13.666853
2024-11-15 12:30:22,9.414063
2024-11-15 12:30:20,5.313253
2024-11-15 12:30:18,3.412138
2024-11-15 12:30:16,2.651082
2024-11-15 12:30:14,2.64005
2024-11-15 12:30:12,3.875503
2024-11-15 12:30:10,2.666756
2024-11-15 12:30:08,2.86449
2024-11-15 12:30:06,2.999965
2024-11-15 12:30:04,4.820805
2024-11-15 12:30:02,21.20834
2024-11-15 12:30:00,8.666664
2024-11-15 12:29:58,5.304168
2024-11-15 12:29:56,2.859923
2024-11-15 12:29:54,2.729318
2024-11-15 12:29:52,14.666676
2024-11-15 12:29:50,10.908621
2024-11-15 12:29:48,8.86235
2024-11-15 12:29:46,14.000518
2024-11-15 12:29:44,12.615392
2024-11-15 12:29:42,10.903833
2024-11-15 12:29:40,3.640037
2024-11-15 12:29:38,5.000005
2024-11-15 12:29:36,4.999964
2024-11-15 12:29:34,5.513586
2024-11-15 12:29:32,10.297628
2024-11-15 12:29:30,8.33345
2024-11-15 12:29:28,6.355449
2024-11-15 12:29:26,4.719847
2024-11-15 12:29:24,1.999942
2024-11-15 12:29:22,2.124463
2024-11-15 12:29:20,3.333298
2024-11-15 12:29:18,3.333358
2024-11-15 12:29:16,3.162221
2024-11-15 12:29:14,1.4999947
2024-11-15 12:29:12,1.5466386
2024-11-15 12:29:10,2.031107
2024-11-15 12:29:08,2.333392
2024-11-15 12:29:06,2.135569
2024-11-15 12:29:04,2.000005
2024-11-15 12:29:02,2.000008
2024-11-15 12:29:00,2.988953
2024-11-15 12:28:58,3.464336
2024-11-15 12:28:56,1.4533164
2024-11-15 12:28:54,1.000014
2024-11-15 12:28:52,2.780114
2024-11-15 12:28:50,9.340443
2024-11-15 12:28:48,7.461789
2024-11-15 12:28:46,3.510998
2024-11-15 12:28:44,1.937732
2024-11-15 12:28:42,1.3333422
2024-11-15 12:28:40,1.1355529
2024-11-15 12:28:38,1.1977926
2024-11-15 12:28:36,1.3644659
2024-11-15 12:28:34,1.6666411
2024-11-15 12:28:32,3.051116
2024-11-15 12:28:30,3.109983
2024-11-15 12:28:28,2.500013
2024-11-15 12:28:26,2.598909
2024-11-15 12:28:24,2.744475
2024-11-15 12:28:22,3.546638
2024-11-15 12:28:20,4.000053
2024-11-15 12:28:18,3.109971
2024-11-15 12:28:16,4.576808
2024-11-15 12:28:14,4.615487
2024-11-15 12:28:12,3.511037
2024-11-15 12:28:10,1.999937
2024-11-15 12:28:08,2.248908
2024-11-15 12:28:06,4.666766
2024-11-15 12:28:04,3.677793
2024-11-15 12:28:02,3.395607
2024-11-15 12:28:00,3.54214
2024-11-15 12:27:58,2.333359
2024-11-15 12:27:56,2.432193
2024-11-15 12:27:54,2.796597
2024-11-15 12:27:52,2.406649
2024-11-15 12:27:50,2.000028
2024-11-15 12:27:48,2.155563
2024-11-15 12:27:46,3.666639
2024-11-15 12:27:44,3.073325
2024-11-15 12:27:42,2.666685
2024-11-15 12:27:40,2.666717
2024-11-15 12:27:38,2.864414
2024-11-15 12:27:36,4.483323
2024-11-15 12:27:34,5.401163
2024-11-15 12:27:32,5.068856
2024-11-15 12:27:30,2.546608
2024-11-15 12:27:28,2.90666
2024-11-15 12:27:26,2.000001
2024-11-15 12:27:24,3.582234
2024-11-15 12:27:22,4.791115
2024-11-15 12:27:20,5.999998
2024-11-15 12:27:18,3.626652
2024-11-15 12:27:16,2.19784
2024-11-15 12:27:14,2.271151
2024-11-15 12:27:12,1.6665928
2024-11-15 12:27:10,1.4688927
2024-11-15 12:27:08,1.3956487
2024-11-15 12:27:06,2.046609
2024-11-15 12:27:04,2.546633
2024-11-15 12:27:02,2.875513
2024-11-15 12:27:00,1.6667156
2024-11-15 12:26:58,2.655623
2024-11-15 12:26:56,3.208827
2024-11-15 12:26:54,1.968902
2024-11-15 12:26:52,1.6666628
2024-11-15 12:26:50,2.1611
2024-11-15 12:26:48,3.39006
2024-11-15 12:26:46,3.813329
